GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,SCSAA,SMSAA,URB_AREAA,AREANAME,CENCNTY,CBD,SEA,CS2001,CS2002,CS2003,CS2004,CS2005,CS2006,CS2007,CS2008,CS2009,CS2010,CS2011,CS2012,CS2013,CS2014,CS2015,CY7001
GIS Join Match Code,Data File Year,Region Code,Division Code,State Name,State Code,County Name,County Code,County Subdivision Code,Place Code,Census Tract Code,Standard Consolidated Statistical Area Code,Standard Metropolitan Statistical Area Code,Urban Area Code,Area Name,1970 Central County Code,Central Business District,State Economic Area,Paying cash rent: Less than $30,Paying cash rent: $30-$39,Paying cash rent: $40-$49,Paying cash rent: $50-$59,Paying cash rent: $60-$69,Paying cash rent: $70-$79,Paying cash rent: $80-$89,Paying cash rent: $90-$99,Paying cash rent: $100-$119,Paying cash rent: $120-$149,Paying cash rent: $150-$199,Paying cash rent: $200-$249,Paying cash rent: $250-$299,Paying cash rent: $300 or more,Without payment of cash rent,Total
"G25000309001","1970","1","1","Massachusetts","25","Berkshire","003",,,"9001",,"6320",,"Tract 9001","0","1","F",0,16,31,92,130,139,161,186,341,315,91,5,0,0,26,4114
"G25000309002","1970","1","1","Massachusetts","25","Berkshire","003",,,"9002",,"6320",,"Tract 9002","0","1","F",6,0,32,42,99,129,192,258,445,279,85,6,0,0,25,6831
"G25000309003","1970","1","1","Massachusetts","25","Berkshire","003",,,"9003",,"6320",,"Tract 9003","0","1","F",0,0,5,0,15,13,46,53,57,123,40,4,0,0,17,3747
"G25000309004","1970","1","1","Massachusetts","25","Berkshire","003",,,"9004",,"6320",,"Tract 9004","0","1","F",0,0,0,62,0,34,62,115,139,76,15,0,0,0,0,5624
"G25000309005","1970","1","1","Massachusetts","25","Berkshire","003",,,"9005",,"6320",,"Tract 9005","0","1","F",0,0,4,7,0,0,5,13,25,12,26,18,6,0,0,2993
"G25000309006","1970","1","1","Massachusetts","25","Berkshire","003",,,"9006",,"6320",,"Tract 9006","0","1","F",0,0,24,36,45,115,145,144,213,141,38,10,0,0,26,5708
"G25000309007","1970","1","1","Massachusetts","25","Berkshire","003",,,"9007",,"6320",,"Tract 9007","0","1","F",0,0,11,5,22,28,12,18,50,26,41,10,0,0,9,3268
"G25000309008","1970","1","1","Massachusetts","25","Berkshire","003",,,"9008",,"6320",,"Tract 9008","0","1","F",0,0,0,0,0,0,4,0,11,20,20,0,5,0,27,6075
"G25000309009","1970","1","1","Massachusetts","25","Berkshire","003",,,"9009",,"6320",,"Tract 9009","0","1","F",6,0,0,6,25,33,54,97,182,363,140,23,21,6,39,7407
