GISJOIN,YEAR,FSTATUS,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNO,ZIPA,SEA,UATYPE,PLACDESC,CBD,INDSUBR,AREANAME,SUPFLG01,SUPFLG02,SUPFLG03,SUPFLG04,SUPFLG05,SUPFLG06,SUPFLG07,SUPFLG08,SUPFLG09,SUPFLG10,SUPFLG11,SUPFLG12,SUPFLG13,SUPFLG14,SUPFLG15,SUPFLG16,SUPFLG17,SUPFLG18,SUPFLG19,SUPFLG20,SUPFLG21,SUPFLG22,SUPFLG23,SUPFLG24,SUPFLG25,SUPFLG26,SUPFLG27,DGO001,DG0001,DG0002,DG0003,DG0004,DG0005,DG0006,DG0007,DG0008,DG0009,DG0010,DG0011,DG0012,DG0013,DG0014,DG0015,DG0016,DG0017,DG0018,DG0019,DG1001,DG1002,DG1003,DG1004,DG1005,DG1006,DG6001,DG6002,DG6003,DG6004,DIB001,DIB002,DIB003,DIB004,DIB005,DIB006,DIB007,DIB008,DIB009,DIB010,DIB011,DIB012,DIB013,DID001,DID002,DID003,DID004,DID005,DID006,DID007,DID008,DID009,DID010,DID011,DID012,DID013,DID014,DID015,DID016,DID017,DIZ001
GIS Join Match Code,Data File Year,Functional Status Code,Region Code,Division Code,State Name,State Code,Standard Metropolitan Statistical Area Code,County Name,County Code,County Subdivision Code,Place Code,Census Tract Code,Block Group Code,Enumeration District Code,Standard Consolidated Statistical Area Code,Urban Area Code,Congressional District Code,American Indian Area/Alaska Native Area/Hawaiian Home Land Code,MCD Sequence Number,5-Digit ZIP Code Code,State Economic Area (SEA),Urbanized Area (UA) Type,Place Description,Central Business District (CBD),Indian Subreservation,Area Name,Total Population Suppression Flag,White Population Suppression Flag,Black Population Suppression Flag,"American Indian, Eskimo, and Aleut Suppression Flag",Asian and Pacific Islander Suppression Flag,Spanish Population Suppression Flag,Year-Round Housing Unit Suppression Flag,Occupied Housing Unit Suppression Flag,Occupied Housing Unit with White Householder Suppression Flag,Occupied Housing Unit with Black Householder Suppression Flag,"Occupied Housing Unit with American Indian, Eskimo, and Aleut Householder Suppression Flag",Occupied Housing Unit with Asian and Pacific Islander Householder Suppression Flag,Occupied Housing Unit with Other Race Householder Suppression Flag,Occupied Housing Unit with Spanish Origin Householder Suppression Flag,Owner-Occupied Housing Unit Suppression Flag,Owner-Occupied Housing Unit with White Householder Suppression Flag,Owner-Occupied Housing Unit with Black Householder Suppression Flag,"Owner-Occupied Housing Unit with American Indian, Eskimo, and Aleut Householder Suppression Flag",Owner-Occupied Housing Unit with Asian and Pacific Islander Householders Suppression Flag,Owner-Occupied Housing Unit with Spanish Householder Suppression Flag,Renter-Occupied Housing Unit Suppression Flag,Renter-Occupied Housing Unit with White Householder Suppression Flag,Renter-Occupied Housing Unit with Black Householder Suppression Flag,"Renter-Occupied Housing Unit with American Indian, Eskimo, and Aleut Householder Suppression Flag",Renter-Occupied Housing Unit with Asian and Pacific Islander Householder Suppression Flag,Renter-Occupied Housing Unit with Spanish Householder Suppression Flag,Owner/Renter Occupied Housing Unit Suppression Flag,Total,Single ancestry group: Dutch,Single ancestry group: English,Single ancestry group: French,Single ancestry group: German,Single ancestry group: Greek,Single ancestry group: Hungarian,Single ancestry group: Irish,Single ancestry group: Italian,Single ancestry group: Norwegian,Single ancestry group: Polish,Single ancestry group: Portuguese,Single ancestry group: Russian,Single ancestry group: Scottish,Single ancestry group: Swedish,Single ancestry group: Ukranian,Single ancestry group: Other (all other single ancestry codes),Multiple ancestry groups,Ancestry not specified: Other,Ancestry not specified: Not reported,English and other group(s),French and other group(s),German and other group(s),Irish and other group(s),Italian and other group(s),Polish and other group(s),Native: Born in state of residence,Native: Born in different state,"Native: Born abroad, at sea, etc.",Foreign born,"Managerial and professional speciality occupations: Executive, administrative, and managerial occupations (codes 3-37)",Managerial and professional speciality occupations: Professional speciality occupations (codes 43-199),"Technical, sales and administrative support occupations: Technicians and related support occupations (codes 203-235)","Technical, sales and administrative support occupations: Sales occupations (codes 243-285)","Technical, sales and administrative support occupations: Administrative support occupations, including clerical (codes 303-389)",Service Occupations: Private household occupations (codes 403-407),Service Occupations: Protective service occupations (codes 413-427),"Service Occupations: Service occupations, except household and protective (codes 433-469)","Farming, forestry and fishing occupations (codes 473-499)","Precision production, craft and repair occupations (codes 503-699)","Operators, fabricators, and laborers: Machine operators, assemblers and inspectors (codes 703-799)","Operators, fabricators, and laborers: Transportation and material moving occupations (codes 803-859)","Operators, fabricators, and laborers: Handlers, equipment cleaners, helpers and laborers (codes 863-889)","Less than $2,500","$2,500-$4,999","$5,000-$7,499","$7,500-$9,999","$10,000-$12,499","$12,500-$14,999","$15,000-$17,499","$17,500-$19,999","$20,000-$22,499","$22,500-$24,999","$25,000-$27,499","$27,500-$29,999","$30,000-$34,999","$35,000-$39,999","$40,000-$49,999","$50,000-$74,999","$75,000 or more",Per capita income in 1979
"G25000309001","1980","S","1","1","Massachusetts","25","6320","Berkshire","003","110","3370","9001",,,,,,,,,"F",,"3","C",,"State: 25 County: 003 Tract: 9001","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","1","0","0","1","0","0","0","0","0","1","0","0",4059,13,190,213,103,66,7,495,317,0,225,42,25,12,0,27,477,1389,95,363,424,623,352,783,201,75,2766,865,27,401,60,194,97,129,298,6,29,265,6,139,97,96,73,211,554,344,239,217,159,154,102,32,63,44,6,27,7,16,25,0,5554
"G25000309002","1980","S","1","1","Massachusetts","25","6320","Berkshire","003","110","3370","9002",,,,,,,,,"F",,"3",,,"State: 25 County: 003 Tract: 9002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",5305,11,306,361,101,49,0,433,556,0,198,38,6,30,8,0,191,2273,214,530,601,1110,520,988,419,251,3821,1123,10,351,92,201,113,88,374,19,32,321,16,218,383,76,80,124,343,282,224,187,190,177,172,143,78,46,44,42,26,50,5,10,5518
"G25000309003","1980","S","1","1","Massachusetts","25","6320","Berkshire","003","110","3370","9003",,,,,,,,,"F",,"3",,,"State: 25 County: 003 Tract: 9003","0","0","1","0","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","1","0",3493,0,226,142,66,8,5,256,344,10,141,48,6,39,18,21,83,1706,47,327,573,721,394,773,294,179,2902,392,18,181,127,152,70,92,248,0,29,225,7,202,224,39,54,51,97,77,161,166,96,91,77,82,89,60,43,46,40,28,9,0,5798
"G25000309004","1980","S","1","1","Massachusetts","25","6320","Berkshire","003","110","3370","9004",,,,,,,,,"F",,"3",,,"State: 25 County: 003 Tract: 9004","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0",5678,6,336,346,62,0,0,328,344,0,359,9,42,0,0,43,271,3083,133,316,1105,1355,794,1369,526,489,4662,753,24,239,186,258,103,211,490,0,99,308,0,346,391,73,76,73,207,143,195,152,138,206,131,170,114,82,46,114,71,80,15,21,6202
"G25000309005","1980","S","1","1","Massachusetts","25","6320","Berkshire","003","110","3370","9005",,,,,,,,,"F",,"3",,,"State: 25 County: 003 Tract: 9005","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2963,0,195,252,133,0,0,276,224,9,67,0,22,18,20,5,137,1269,110,226,471,244,273,717,194,138,2158,664,17,124,220,250,43,147,240,7,21,98,13,149,136,6,35,20,44,38,57,55,67,108,88,53,89,54,46,87,62,66,69,23,9036
"G25000309006","1980","S","1","1","Massachusetts","25","6320","Berkshire","003","110","3370","9006",,,,,,,,,"F",,"3",,,"State: 25 County: 003 Tract: 9006","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","1","0","0","0","0",4563,23,166,231,36,14,0,299,470,0,244,0,0,15,0,45,653,1973,120,274,628,768,379,884,370,183,3351,919,19,274,95,156,23,145,364,9,37,340,23,228,179,87,46,101,192,199,194,123,205,194,51,75,92,72,37,74,7,11,0,12,5054
"G25000309007","1980","S","1","1","Massachusetts","25","6320","Berkshire","003","110","3370","9007",,,,,,,,,"F",,"3",,,"State: 25 County: 003 Tract: 9007","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0",3250,18,223,199,129,10,0,277,137,0,143,6,6,35,6,25,128,1426,102,380,466,556,364,645,311,157,2625,499,14,112,109,137,59,145,327,0,72,142,25,167,167,63,79,24,94,44,97,120,70,111,55,59,66,47,44,115,46,43,18,5,6425
"G25000309008","1980","S","1","1","Massachusetts","25","6320","Berkshire","003","110","3370","9008",,,,,,,,,"F",,"3",,,"State: 25 County: 003 Tract: 9008","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0",5828,26,383,240,273,77,0,615,520,7,180,23,152,46,4,13,273,2330,462,204,890,776,614,1072,274,242,3812,1750,29,237,486,734,73,291,553,21,5,151,6,210,114,23,67,15,69,59,75,69,128,109,91,114,126,148,65,205,190,167,214,87,10478
"G25000309009","1980","S","1","1","Massachusetts","25","6320","Berkshire","003","110","3370","9009",,,,,,,,,"F",,"3",,,"State: 25 County: 003 Tract: 9009","0","0","0","1","1","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0",6546,44,536,182,201,7,14,619,562,13,174,20,72,62,40,13,345,2752,271,619,958,957,585,1168,647,321,4528,1682,36,300,405,515,148,299,577,13,48,262,26,293,221,62,49,82,202,178,225,180,178,150,144,277,173,129,96,183,68,120,57,37,7776
"G25000309010","1980","S","1","1","Massachusetts","25","6320","Berkshire","003","110","3370","9010",,,,,,,,,"F",,"3",,,"State: 25 County: 003 Tract: 9010","0","0","1","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0",6003,0,339,272,132,11,0,453,1135,0,224,24,24,42,7,12,239,2670,112,307,835,952,585,1168,830,293,4472,1185,22,324,271,362,107,286,569,21,67,296,18,353,363,81,93,48,92,151,131,147,175,217,145,179,136,128,118,217,66,107,35,7,7293
"G25000309011","1980","S","1","1","Massachusetts","25","6320","Berkshire","003","110","3370","9011",,,,,,,,,"F",,"3",,,"State: 25 County: 003 Tract: 9011","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4286,17,219,354,69,6,17,304,436,0,366,79,56,53,31,43,104,1754,116,262,533,566,408,975,373,257,3154,872,11,249,216,344,132,209,478,6,28,125,0,180,180,64,68,24,129,176,60,68,100,202,115,174,99,62,67,197,128,64,21,12,8285
"G25000309111","1980","S","1","1","Massachusetts","25","6320","Berkshire","003","060",,"9111",,,,,,,"2020",,"F",,,,,"State: 25 County: 003 Tract: 9111","0","0","1","0","1","1","0","0","1","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0",3131,24,271,172,141,0,0,216,136,17,137,7,8,41,20,0,105,1525,157,154,591,588,446,646,229,137,2331,687,6,107,120,258,80,117,172,7,44,199,12,150,136,87,34,29,93,60,83,117,92,87,55,121,50,49,25,74,64,41,25,5,6632
"G25000309121","1980","S","1","1","Massachusetts","25","6320","Berkshire","003","030",,"9121",,,,,,,"0880",,"F",,,,,"State: 25 County: 003 Tract: 9121","0","1","1","0","0","1","0","0","1","1","0","0","0","1","0","1","1","0","0","1","0","0","0","0","0","0","0",6797,42,724,503,187,6,6,685,241,0,146,5,6,55,19,25,210,3083,283,571,1179,1212,1060,1349,297,309,5291,1321,31,154,304,486,159,255,597,25,60,234,41,295,428,95,84,35,154,92,139,190,152,163,183,189,213,118,147,204,94,135,60,13,7312
"G25000309131","1980","S","1","1","Massachusetts","25","6320","Berkshire","003","070",,"9131",,,,,,,"2090",,"F",,,,,"State: 25 County: 003 Tract: 9131","0","1","1","0","0","1","0","0","1","1","0","0","0","1","0","1","1","0","0","1","0","0","0","0","0","0","0",6523,54,620,227,219,24,10,559,453,10,76,20,67,112,65,0,311,2480,243,973,981,684,645,982,509,201,4031,2133,28,331,402,510,126,284,519,24,47,415,29,240,227,78,91,78,153,139,132,152,146,167,119,157,133,133,138,85,100,118,68,30,7106
"G25000309141","1980","S","1","1","Massachusetts","25","6320","Berkshire","003","065",,"9141",,,,,,,"2050",,"F",,,,,"State: 25 County: 003 Tract: 9141","0","1","1","1","0","1","0","0","1","1","0","0","0","1","0","1","1","0","0","1","0","0","0","0","0","0","0",6247,15,489,387,71,25,0,594,849,31,112,25,63,32,20,14,176,2490,305,549,832,886,412,1357,566,184,4611,1336,26,274,231,434,117,192,479,20,12,301,20,368,352,87,115,74,96,129,135,174,177,112,169,242,165,69,92,164,94,82,64,11,6870
"G25000309201","1980","S","1","1","Massachusetts","25",,"Berkshire","003","155",,"9201",,,,,,,"4930",,"F",,,,,"State: 25 County: 003 Tract: 9201","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","1","1","0","0","0","0","0","0","0",8741,28,1433,476,319,33,15,449,265,11,74,0,108,126,44,13,449,4021,356,521,1969,948,1228,1335,410,265,4199,4057,127,358,417,1022,122,303,492,66,81,645,142,222,265,83,23,67,235,138,248,232,175,215,168,157,116,122,98,208,139,149,99,89,7388
"G25000309211","1980","S","1","1","Massachusetts","25",,"Berkshire","003","095","2850","9211",,,,,,,,,"F",,"4",,,"State: 25 County: 003 Tract: 9211","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",578,0,21,89,12,32,0,82,54,0,5,0,0,0,0,0,15,220,16,32,62,151,29,96,25,38,458,79,0,41,0,23,9,0,0,7,7,38,8,21,36,13,7,39,123,28,27,13,0,27,14,6,0,0,8,0,6,0,0,0,4363
"G25000309212","1980","S","1","1","Massachusetts","25",,"Berkshire","003","095","2850","9212",,,,,,,,,"F",,"4",,,"State: 25 County: 003 Tract: 9212","0","0","1","1","1","1","0","0","0","1","0","0","1","0","0","1","0","0","1","0","0","0","1","0","1","0","0",5049,11,406,756,96,0,0,311,516,0,146,9,0,27,13,0,382,2036,85,255,531,1305,232,715,488,242,4169,625,38,217,101,216,71,110,382,0,37,282,12,272,398,147,98,81,273,191,176,202,196,186,156,126,90,94,56,50,69,0,0,5,5544
"G25000309213","1980","S","1","1","Massachusetts","25",,"Berkshire","003","095","2850","9213",,,,,,,,,"F",,"4",,,"State: 25 County: 003 Tract: 9213","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0",6382,5,422,973,130,17,3,642,433,0,248,15,49,47,37,6,444,2503,234,174,949,1244,405,941,518,303,5046,1090,13,233,174,284,117,158,459,5,48,404,19,276,382,58,77,100,407,280,239,216,221,110,134,87,49,90,47,101,73,57,5,15,5279
"G25000309214","1980","S","1","1","Massachusetts","25",,"Berkshire","003","095","2850","9214",,,,,,,,,"F",,"4",,,"State: 25 County: 003 Tract: 9214","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2243,44,106,363,27,0,0,59,338,0,85,0,0,32,7,0,73,958,49,102,253,522,193,231,297,154,1913,265,8,57,56,78,24,36,143,0,10,145,0,166,190,58,46,4,87,78,86,107,52,63,72,72,28,61,18,53,17,10,0,0,5642
